Timestamp,Age,Gender,Class,Class Type,Location,Type of School,Nature of School,Quality of Teaching,Academic Performance Feedback,Quality of Teachers,Availability of Learning Resources,Learning Environment,Family's Monthly Income,Home Study,Financial Support,Outside School Study Hours,Extracurricular activities,Academic Motivation,Academic-related Stress,Sources of Stress,Number of credits and above in WASSCE,Jamb Score,Intelligence Rating,Type of Student,Confidence in Ability,Ability to solve problems,Learning Style,Preparatory CBT,Number of preparatory CBT taken,Number of extra lessons attended,Method of Exam Preparation,Daily Study Hours
2024-10-02 21:41:42.214,18 and above,Male,Graduate,Science,Suburban,Private,Day,Excellent,Always,Agree,Adequate,5,Above #500k,Yes,Yes,1-2 hours,Yes,Very High,Often,"Academic pressure, Financial issues",9.0,304.0,Much higher than average,Excellent,Extremely confident,Always,"Visual (learning through seeing, e.g., diagrams, videos), Auditory (learning through listening, e.g., lectures, discussions), Reading/Writing (learning through reading and writing tasks), Kinesthetic (learning through doing, e.g., hands-on tasks)",Yes,1-2,Less than once a week,Studying alone,3-4 hours
2024-10-02 21:41:45.763,18 and above,Male,Graduate,Science,Urban,Private,Day,Excellent,Always,Strongly Agree,Very Adequate,5,Above #500k,Yes,No,3-4 hours,Yes,Moderate,Rarely,Financial issues,9.0,288.0,Much higher than average,Excellent,Extremely confident,Sometimes,Reading/Writing (learning through reading and writing tasks),No,None,Less than once a week,Studying alone,More than 6 hours
2024-10-02 21:48:14.448,18 and above,Female,Graduate,Science,Urban,Public,Day,Excellent,Often,Agree,Adequate,3,#100k -#300k,Yes,No,1-2 hours,Yes,High,Sometimes,Family expectations,9.0,297.0,Much higher than average,Excellent,Extremely confident,Often,"Kinesthetic (learning through doing, e.g., hands-on tasks)",Yes,More than 5,3-4 times a week,Attending extra lessons,3-4 hours
2024-10-02 22:41:19.957,18 and above,Male,Graduate,Science,Suburban,Private,Day,Good,Often,Agree,Adequate,3,Below #100k,No,Yes,Less than 1 hour,No,Moderate,Sometimes,"Financial issues, Social relationships",0.0,0.0,Slightly above average,Above Average,Moderately confident,Always,"Visual (learning through seeing, e.g., diagrams, videos), Auditory (learning through listening, e.g., lectures, discussions)",No,None,Less than once a week,Studying alone,1-2 hours
2024-10-03 01:18:20.571,18 and above,Female,Graduate,Science,Urban,Private,Day,Excellent,Often,Agree,Very Adequate,4,#300k - #500k,Yes,No,3-4 hours,Yes,High,Sometimes,Academic pressure,9.0,250.0,Slightly above average,Above Average,Very confident,Sometimes,"Auditory (learning through listening, e.g., lectures, discussions)",Yes,3-5,Less than once a week,Studying alone,5-6 hours
2024-10-03 02:16:08.576,18 and above,Male,Graduate,Science,Suburban,Private,Day,Good,Often,Agree,Adequate,4,#300k - #500k,Yes,Yes,1-2 hours,Yes,Moderate,Sometimes,Social relationships,6.0,260.0,Average,Average,Moderately confident,Often,"Visual (learning through seeing, e.g., diagrams, videos), Reading/Writing (learning through reading and writing tasks), Kinesthetic (learning through doing, e.g., hands-on tasks)",Yes,More than 5,Less than once a week,Studying alone,1-2 hours
2024-10-03 03:50:46.255,18 and above,Male,Graduate,Science,Rural,Private,Day,Average,Sometimes,Neutral,Neutral,3,#100k -#300k,Yes,Yes,Less than 1 hour,No,Moderate,Sometimes,"Academic pressure, Financial issues",0.0,0.0,Slightly above average,Above Average,Slightly confident,Often,"Visual (learning through seeing, e.g., diagrams, videos), Kinesthetic (learning through doing, e.g., hands-on tasks)",Yes,1-2,Daily,Studying alone,3-4 hours
2024-10-03 06:52:20.819,18 and above,Male,Graduate,Science,Urban,Public,Day,Good,Often,Strongly Agree,Neutral,4,Above #500k,No,Yes,3-4 hours,Yes,High,Sometimes,"Academic pressure, Financial issues, Social relationships",8.0,291.0,Slightly above average,Above Average,Very confident,Often,Reading/Writing (learning through reading and writing tasks),Yes,1-2,Less than once a week,Studying alone,3-4 hours
2024-10-03 10:58:59.577,14 - 15,Female,SS2,Arts,Urban,Public,Boarding,Good,Sometimes,Agree,Neutral,3,#100k -#300k,No,No,1-2 hours,No,Moderate,Sometimes,"Academic pressure, Family expectations",0.0,0.0,Average,Average,Moderately confident,Often,"Visual (learning through seeing, e.g., diagrams, videos), Auditory (learning through listening, e.g., lectures, discussions), Reading/Writing (learning through reading and writing tasks)",Yes,3-5,1-2 times a week,Studying alone,1-2 hours
2024-10-03 11:34:22.425,14 - 15,Female,Graduate,Arts,Suburban,Private,Day,Excellent,Always,Agree,Very Adequate,3,Above #500k,Yes,No,3-4 hours,Yes,Very High,Sometimes,Social relationships,1.0,234.0,Much lower than average,Average,Moderately confident,Never,Reading/Writing (learning through reading and writing tasks),Yes,1-2,Less than once a week,Studying alone,1-2 hours
